Name,AAA_C3,AAA_C6,Agrifood (Coles) C6,ALS_C6,Coles,FreshTest_C6,NMI (2017),PEST06,PEST08,PEST08_C6
Diazinon,X,X,X,X,X,X,X,X,X,X
Dichlobenil,,,,,,,,,X,
Dichlofenthion,,,,,,,,,X,
Dichlofluanid,,,X,X,X,,,,X,X
Dichlorprop,,,,,X,,,,,
Dichlorvos,X,X,X,X,X,X,X,X,X,X
Diclobutrazol,,,,,,,,,X,
Diclocymet,,,,,,,,,X,
Diclofluanid,,,,,,,X,,,
Diclofop-methyl,,,,,X,,,,X,
Dicloran,X,X,X,X,X,X,X,X,X,X
Diclosulam,,,,,,,,,X,
Dicofol,X,X,X,X,X,,X,X,X,X
Dicofol-o.p,,,,,,X,,,,
Dicofol-p.p,,,,,,X,,,,
Dicrotophos,,,,,,,,,X,
Dicyclanil,,,,,,,,,X,
Didecyldimethylammonium chloride,,,,,,,,,X,
Dieldrin,X,X,X,X,X,X,X,,X,X
Diethofencarb,,,,,,,,,X,
Difenoconazole,X,X,X,X,X,X,X,X,X,X
Diflubenzuron,,,,,,,,,X,
Diflufenican,,,,,,,,,X,
Dimepiperate,,,,,,,,,X,
Dimethamid,,,,,X,,,,,
Dimethenamid,,,,,,,,,X,
Dimethoate,X,X,X,X,X,X,X,X,X,X
Dimethomorph,X,X,X,X,X,X,X,X,X,X
Dimethylvinphos,,,,,,,,,X,
Dioxabenzofos,,,,,,,,,X,
Dioxathion,,,,,,,X,,X,
Diphenamid,,,,,,,,,X,
Diphenylamine,X,X,X,X,X,X,X,X,X,X
Diquat,,,,,X,,,,,
Disulfoton,,,,,X,,X,X,X,
Dithianon,,X,,,X,X,,,,
Dithiocarbamates,,,,,X,X,,,,
Dithiopyr,,,,,,,,,X,
Diuron,,X,,X,X,X,X,X,X,X
Dodine,,,,,,,,,X,
Edifenphos,,,,,,,,,X,
Emamectin,,,,,,,X,,,
Emamectinbenzoate,,,,,,,,,X,
Endosulphan,,,,,,,,X,,
Endosulphan-alpha,X,X,X,X,X,X,X,,X,X
Endosulphan-beta,X,X,X,X,X,X,X,,X,X
Endosulphan sulphate,X,X,X,X,X,X,X,,X,X
Endosulphan Total,X,X,X,X,X,X,X,,,
Endrin,,,X,X,X,X,X,X,X,X
Endrin ketone,,,,,,X,,,X,X
EPN,,,,,,,,,X,
Epoxiconazole,,,,,,,X,,X,
EPTC,,,,,,,,,X,
Esfenvalerate,X,X,X,X,X,X,X,,,
Esprocarb,,,,,,,,,X,
Ethalfluralin,,,,,,,,,X,
Ethametsulfuron-methyl,,,,,,,,,X,
Ethephon,,,,,X,,,,,
Ethiofencarb,,,,,,,,,X,
Ethion,,,,,,,X,,X,
Ethiprole,,,,,,,,,X,
Ethofumesate,,,,,,,X,,X,
Ethoprophos,,,,,,,,X,X,
Ethoxyquin,,,,,,,,,X,
Ethoxysulfuron,,,,,,,,,X,
Ethychlozate,,,,,,,,,X,
Etobenzanid,,,,,,,,,X,
Etoxazole,,,,,,X,X,,X,X
Etridiazole,,,,,,,,,X,
Etrimfos,,,,,,,,,X,
Famoxadone,,,,,,,,,X,
Famphur,,,,,,,,,X,
Fenamidone,,,,,,,,,X,
Fenamiphos,X,X,X,X,X,X,X,X,X,X
Fenarimol,X,X,X,X,X,X,X,X,X,X
Fenbuconazole,,,,,,,,,X,
Fenchlorphos,,,,,,,X,,X,
Fenhexamid,,X,,X,X,X,X,X,X,X
Fenitrothion,X,X,X,X,X,X,X,X,X,X
Fenobucarb,,,,,,,,,X,
Fenothiocarb,,,,,,,,,X,
Fenoxanil,,,,,,,,,X,
Fenoxaprop,,,,,,,,,X,
Fenoxaprop-ethyl,,,,,,,,,X,
Fenoxycarb,X,X,X,X,X,X,X,X,X,X
Fenpiclonil,,,,,,,,,X,
Fenpropathrin,,,,,,,,,X,
Fenpropidin,,,,,,,,,X,
Fenpropimorph,,,,,,,,,X,
Fenpyrazamine,,,,,,,X,,,
Fenpyroximate,,X,,X,X,X,X,X,X,X
Fensulfothion,,,,,,,,,X,
Fenthion,X,X,X,X,X,X,X,X,X,X
Fenthion-oxon,,,,,,,,,X,X
Fenthion-oxon sulfone,,,,,,X,,,X,X
Fenthion-oxon sulfoxide,,,,,,X,,,X,X
Fenthion ethyl,,,,,,,,,X,
Fenthion oxon,,,,,,X,,,,
Fenthion sulfone,X,X,,,,X,,,X,X
Fenthion sulfoxide,X,X,,,,X,,,X,X
Fenthion Total,X,X,,,,,,,,
Fentrazamide,,,,,,,,,X,
Fenvalerate,X,X,X,X,X,X,X,X,X,X
Ferimzone,,,,,,,,,X,
Fipronil,X,X,X,X,X,X,X,X,X,X
Fipronil sulfide,,,,,,,,,X,X
Fipronil sulphenyl,,,,,,X,,,,
Fipronil sulphone,,,,,,X,,,X,X
