Name,PEST00,PEST06,PEST08,PEST08_C6
Flucythrinate,,,X,
Fludioxonil,,X,X,X
Flufenacet,,,X,
Flumiclorac-pentyl,,,X,
Flumioxazin,,,X,
Fluometuron,,,X,
Fluopicolide,,,X,
Fluopyram,,,X,
Fluquinconazole,,,X,
Fluridone,,,X,
Flusilazole,,X,X,X
Fluthiacet-methyl,,,X,
Flutolanil,,,X,
Flutriafol,,,X,
Fluvalinate,,,X,X
Fluvalinate-tau,,X,,
Folpet,,,X,
Fonofos,,,X,
Forchlorfenuron,,,X,
Formetanate hydrochloride,,,X,
Fosthiazate,,,X,
Fuberidazole,,,X,
Furalaxyl,,,X,
Furametpyr,,,X,
Furathiocarb,,,X,
Halosulfuron-methyl,,,X,
Haloxyfop-etotyl,,,X,
Haloxyfop-methyl,,,X,
HCH,,X,,
HCH-alpha,,,X,X
HCH-beta,,,X,X
HCH-delta,,,X,X
HCH-gamma (Lindane),,X,X,X
Heptachlor,,X,X,X
Heptachlor endo-epoxide,,,X,X
Heptachlor Epoxide,X,,,
Heptachlor exo-epoxide,,,X,X
Heptenophos,,,X,
Hexachlorobenzene,,X,X,X
Hexaconazole,,X,X,X
Hexaflumuron,,,X,
Hexazinone,,,X,
Hexythiazox,,X,X,X
Imazalil,,X,X,X
Imazamethabenz-methyl,,,X,
Imazilil,X,,,
Imazosulfuron,,,X,
Imidacloprid,,,X,X
Imidacloprid olefin,,,X,X
Inabenfide,,,X,
Indanofan,,,X,
Indoxacarb,,X,X,X
Iodfenphos,,,X,
Iodosulfuron-methyl,,,X,
Iprobenfos,,,X,
Iprodione,,X,X,X
Iprovalicarb,,,X,
Isazofos,,,X,
Isofenphos,,,X,
Isofenphos-methyl,,,X,
Isoprocarb,,,X,
Isoprothiolane,,,X,
Isoproturon,,,X,
Isopyrazam,,,X,
Isoxathion,,,X,
Karbutilate,,,X,
Kresoxim-methyl,,X,X,X
Lactofen,,,X,
Lenacil,,,X,
Leptophos,,,X,
Linuron,,X,X,X
Lufenuron,,,X,
Malathion,X,X,X,X
Mandipropamid,,,X,
Mefenacet,,,X,
Mefenpyr-diethyl,,,X,
Mepanipyrim,,,X,
