Name,AAA_C3,AAA_C6,ALS_C6,Coles,FreshTest_C6,FSANZ_MRL,Indonesia,NMI (2017),PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
Buprofezin,X,X,X,X,X,X,X,X,,X,X,,
Butachlor,,,,,,,,,,X,,,
Butafenacil,,,,,,X,,,,X,,,
Butamifos,,,,,,,,,,X,,,
Butroxydim,,,,,,X,,,,,,,
Cadusafos,,,,X,,X,X,,,X,,,
Cafenstrole,,,,,,,,,,X,,,
Captan,X,X,X,X,X,X,,X,X,X,X,,
Carbaryl,X,X,X,X,X,X,X,X,X,X,X,,
Carbendazim,,X,X,,X,X,X,X,X,X,X,,X
Carbendazim / Benomyl,,,,X,,,,,,,,,
Carbetamide,,,,,,,,,,X,,,
Carbofuran,,,,X,,X,X,,,X,,X,X
Carbon disulphide,,,,,,X,,,,,,,
Carbonyl sulphide,,,,,,X,,,,,,,
Carbophenothion,,,,,,,,X,,,,,
Carbosulfan,,,,,,X,,,,,,,
Carboxin,,,,,,X,,,,X,,,
Carfentrazone Ethyl,,,,,,,,X,,,,,
Carfentrazone-ethyl,,,,,,X,,,,X,,,
Carpropamid,,,,,,,,,,X,,,
Ceftiofur,,,,,,X,,,,,,,
Cefuroxime,,,,,,X,,,,,,,
Cephalonium,,,,,,X,,,,,,,
Cephapirin,,,,,,X,,,,,,,
Chinomethionat,,,,,,X,,,,,,,
Chlorantaniliprole,,,,,X,,,X,,,,,
Chlorantraniliprole,,X,X,X,,X,,,,X,,,
Chlorbufam,,,,,,,,,,X,,,
Chlordane,,,X,X,,,,X,,,,,X
Chlordane technical mixture,,,,,,,X,,,,,,
Chlordane-cis,,,,,,,X,,,,,,
Chlordane-trans,,,,,,,X,,,,,,
Chlorfenapyr,X,X,X,X,X,X,,X,,X,X,,
Chlorfenvinphos,,,,,,X,,X,X,X,,,
Chlorfluazuron,,,,,,X,,,,,,,
Chlorhexidine,,,,,,X,,,,,,,
Chloridazon,,,,,,X,,,,X,,,
Chlorimuron-ethyl,,,,,,,,,,X,,,
Chlormequat,,,,,,X,X,,,,,,
Chlorobenzilate,,,,,,,,,,X,,,
Chloropicrin,,,,X,,X,,,,,,,
Chlorothalonil,X,X,,X,X,X,X,X,X,X,X,,X
Chlorotoluron,,,,,,,,,,X,,,
Chloroxuron,,,,,,,,,,X,,,
Chlorpropham,,,,,,,X,,,X,,,X
Chlorpyrifos,X,X,X,X,X,X,,X,X,X,X,X,X
Chlorpyrifos methyl,X,X,X,X,X,,,X,,,,,
Chlorpyrifos-methyl,,,,,,X,,,X,X,X,,
Chlorsulfuron,,,,,,X,,,,X,,,
Chlortetracycline,,,,,,X,,,,,,,
Chlorthal - dimethyl,,,X,,,,,,,,,,
Chlorthal dimethyl,X,X,,X,X,,,X,,,,,
Chlorthal-dimethyl,,,,,,X,,,X,X,X,,
Chlorthiophos,,,,,,,,,,X,,,
Chlozolinate,,,,,,,,,,X,,,
Chromafenozide,,,,,,,,,,X,,,
Cinidon-ethyl,,,,,,,,,,X,,,
cis-Chlordane,,,,,,,,,,X,X,,
Clavulanic acid,,,,,,X,,,,,,,
Clethodim,,,,,,X,X,,,X,,,
Clodinafop acid,,,,,,X,,,,,,,
Clodinafop-propargyl,,,,,,X,,,,X,,,
Clofentezine,X,X,X,X,X,X,X,X,,X,X,,
Clomazone,,,,,,X,,,,X,,,
Clopyralid,,,,,,X,,,,,,,
Cloquintocet-mexyl,,,,,,X,,,,X,,,
Clorsulon,,,,,,X,,,,,,,
Closantel,,,,,,X,,,,,,,
Clothiandin,,,,X,,,,,,,,,
Clothianidin,,,,,,X,,X,,X,,,X
Cloxacillin,,,,,,X,,,,,,,
Coumaphos,,,,,,X,,X,,X,,X,
Coumaphosoxon,,,,,,,,,,X,,,
Coumatetralyl,,,,,,X,,,,,,,
Cyanamide,,,,,,X,,,,,,,
Cyanazine,,,,X,,X,,,,X,,,
Cyanophos,,,,,,,,,,X,,,
Cyantraniliprole,,,,,,X,,,,,,,
Cyazofamid,,,,,,X,,,,X,,,
Cyclanilide,,,,,,X,,,,X,,,
Cycloate,,,,,,,,,,X,,,
Cyclosulfamuron,,,,,,,,,,X,,,
Cycloxydim,,,,,,X,X,,,,,,
Cyflufenamid,,,,,,X,,,,X,,,
Cyfluthrin,X,X,X,X,X,X,X,X,X,X,X,,
Cyfluthrin β,,,,,,,,X,,,,,
Cyfluthrin-beta,X,X,X,,X,,,,,,,,
Cyhalofop-butyl,,,,,,X,,,,X,,,
Cyhalothrin,X,X,X,X,X,X,X,X,X,X,X,,
Cyhalothrin λ,,,,,,,,X,,,,,
Cyhalothrin-lambda,X,X,,,X,,,,,,,,
Cyhexatin,,,,,,,X,,,,,,
Cymoxanil,,,,,,,,,,X,,,
Cypermethrin,X,X,X,X,X,X,X,X,X,X,X,,X
Cypermethrin ά,,,,,,,,X,,,,,
Cypermethrin-alpha,X,X,X,,X,,,,,,,,
Cypraconazole,,,,,X,,,,,,,,
Cyproconazole,X,X,X,X,,X,,X,X,X,X,,
Cyprodinil,X,X,X,X,X,X,,X,X,X,X,,
Cyromazine,,,,,,X,X,,,X,,,
Daimuron,,,,,,,,,,X,,,
Dazomet,,,,X,,,,,,,,,
DDD - o.p.,,,,,,,,X,,,,,
"DDD (o,p)",,,,,,,,,,,,X,
"DDD (p,p)",X,X,X,X,X,,,X,,X,X,,
DDE - o.p.,,,,,,,,X,,,,,
"DDE (o,p)",,,,,,,,,,,,X,
"DDE (p,p)",X,X,X,X,X,,,X,,X,X,X,
DDT,,,,,,,,,X,,,,
"DDT - o,p'",,,X,,,,,,,,,,
DDT - o.p.,,,,,,,,X,,,,,
DDT - Total,,,,X,,,,X,,,,,
"DDT (p,p)",X,X,X,X,X,,,X,,X,X,,
Decoquinate,,,,,,X,,,,,,,
Delta BHC,,,,X,,,,,,,,,
delta-HCH,,,,,,,,,,X,X,,
Deltamethrin,,,X,X,X,X,X,X,X,X,X,,
Deltamethrin (cis & trans),X,X,,,,,,,,,,,
Demeton-s-methyl,,,X,X,,,,,,,,,
Demeton-S-methyl,,,,,,,,,,X,X,,
Demeton-S-Methyl,,,,,,,,X,,,,,
Demeton-S-methylsulfoxide,,,,,,,,,,X,,,
Derquantel,,,,,,X,,,,,,,
Desmedipham,,,,,,,,,,X,,,
Dexamethasone and Dexamethasone trimethylacetate,,,,,,X,,,,,,,
Diafenthiuron,,,,,,X,,,,,,,
Diallate,,,,,,,,,,X,,,
Diazinon,X,X,X,X,X,X,X,X,X,X,X,X,
Dicamba,,,,,,X,,,,,,,
Dichlobenil,,,,,,,,,,X,,,
Dichlofenthion,,,,,,,,,,X,,,
Dichlofluanid,,,X,X,,X,X,,,X,X,,
Dichloran,,,,,,,X,,,,,,
Dichlorprop,,,,X,,,,,,,,,
Dichlorprop-P,,,,,,X,,,,,,,
Dichlorvos,X,X,X,X,X,X,X,X,X,X,X,,
Diclobutrazol,,,,,,,,,,X,,,
Diclocymet,,,,,,,,,,X,,,
Diclofluanid,,,,,,,,X,,,,,
Diclofop-methyl,,,,X,,X,,,,X,,,
Dicloran,X,X,X,X,X,X,,X,X,X,X,,
Diclosulam,,,,,,,,,,X,,,
Dicofol,X,X,X,X,,X,X,X,X,X,X,X,
Dicrotophos,,,,,,,,,,X,,,
