Name,AAA_C3,AAA_C6,ALS_C6,Coles,FreshTest_C6,FSANZ_MRL,Indonesia,NMI (2017),PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
MCPA,,,,X,,X,,,,,,,
MCPB,,,,,,X,,,,,,,
Mebendazole,,,,,,X,,,,,,,
Mefenacet,,,,,,,,,,X,,,
Mefenpyr-diethyl,,,,,,X,,,,X,,,
Meloxicam,,,,,,X,,,,,,,
Mepanipyrim,,,,,,X,,,,X,,,
Mepiquat,,,,,,X,,,,,,,
Mepronil,,,,,,,,,,X,,,
Mesosulfuron-methyl,,,,,,X,,,,,,,
Mesotrione,,,,,,X,,,,X,,,
Metaflumizone,,,,,,X,,,,,,,
Metalaxyl,X,X,X,X,X,X,X,X,X,X,X,,
Metalaxyl-M,,,,,,X,,,,,,,
Metaldehyde,,,,X,,X,,,,,,,
Metamitron,,,,,,,,,,X,,,
Metconazole,,,,,,X,,,,X,,,
Methabenzthiazuron,,,X,X,,X,,X,,X,X,,
Methacrifos,,,X,X,,,,X,,X,X,,
Metham,,,,,,X,,,,,,,
Metham-sodium,,,,,,X,,,,,,,
Methamidophos,X,X,X,X,X,X,,X,X,X,X,,
Methidathion,X,X,X,X,X,X,X,X,X,X,X,,
Methiocarb,,,,X,,X,,X,,X,,,
Methiocarb sulfone,,,,,,,,,,X,,,
Methiocarb sulfoxide,,,,,,,X,,,X,,,
Methomyl,,X,X,X,X,X,X,X,X,X,X,,
Methomyl oxime,,X,X,,X,,,X,,,,,
Methomyl Oxime,,,,X,,,,,,,,,
Methomyl Total,,,,,,,,X,,,,,
Methoprene,,,,,,X,,,,,,,
Methoxychlor,,,,,,,,X,,X,,,
Methoxyfenozide,,,,,,X,,X,,X,,,
Methyl benzoquate,,,,,,X,,,,,,,
Methyl bromide,,,,,,X,,,,,,,
Methyl Bromide,,,,X,,,,,,,,,
Methyl isothiocyanate,,,,,,X,,,,,,,
Methyl Isothiocyanate,,,,X,,,,,,,,,
Metiram,,,,,,X,,,,,,,
Metobromuron,,,,,,,,,,X,,,
Metolachlor,,,,,,X,,X,,X,,,
Metosulam,,,,,,X,,,,X,,,
Metrafenone,,,,,,X,,X,,X,,,
Metribuzin,X,X,X,X,X,X,,X,,X,X,,
Metsulfuron-methyl,,,,,,X,,,,X,,,
Mevinphos,X,X,X,X,X,X,X,X,X,X,X,,
Milbemectin,,,,,,X,,,,,,,
Milbemycin A3,,,,,,,,,,X,,,
Milbemycin A4,,,,,,,,,,X,,,
Mirex,,,,,,,,,,X,,X,
Molinate,,,,,,X,,X,,X,,,
Monensin,,,,,,X,,,,,,,
Monepantel,,,,,,X,,,,,,,
Monocrotophos,X,X,X,X,X,,X,X,X,X,X,,
Monolinuron,,,,,,,,,,X,,,
Morantel,,,,,,X,,,,,,,
Moxidectin,,,,,,X,,,,,,,
MSMA,,,,,,X,,,,,,,
Myclobutanil,X,X,X,X,X,X,X,X,X,X,X,,
Naled,,,,,,X,,,,,,,
Naphthalene acetic acid,,,,,,X,,,,,,,
Naphthalophos,,,,,,X,,,,,,,
Napropamide,,,,,,X,,X,,X,,,
Narasin,,,,,,X,,,,,,,
Neomycin,,,,,,X,,,,,,,
Netobimin,,,,,,X,,,,,,,
Nicarbazin,,,,,,X,,,,,,,
Nicotine,,,,,,,,,,X,,,
Nitrofen,,,,,,,,,,X,,,
Nitrothal-isopropyl,,,,,,X,,,,X,,,
Nitroxynil,,,,,,X,,,,,,,
Nonachlor,,,,,,,,X,,,,,
Norflurazon,,,,,,X,,X,,X,,,
Norgestomet,,,,,,X,,,,,,,
Novaluron,,,,,,X,,X,,X,,,
Novobiocin,,,,,,X,,,,,,,
"o,p'-DDD",X,X,,,,,,,,,,,
"o,p'-DDE",X,X,,,,,,,,,,,
"o,p'-DDT",X,X,,,,,,,,,,,
o.p Dicofol,,,,,X,,,,,,,,
"o""-DDD",,,,,,,,,,X,X,,
"o""-DDE",,,,,,,,,,X,X,,
"o""-DDT",,,,,,,,,,X,X,,
Octhilinone,,,,,,,,,,X,,,
ODB,,,,,,X,,,,,,,
Olaquindox,,,,,,X,,,,,,,
Oleandomycin,,,,,,X,,,,,,,
Omethoate,X,X,X,X,X,X,,X,,X,X,,
OPP,,,,,,X,,,,,,,
Oryzalin,,,,,,X,,,,X,,,
Oxabetrinil,,,,,,X,,,,X,,,
Oxadiazon,,,,,,,,,,X,,,
Oxadixyl,,,,X,,X,,X,,X,,,
Oxamyl,,,,,,X,X,,,X,,,
Oxathiapiprolin,,,,,,X,,,,,,,
Oxfendazole,,,,,,X,,,,,,,
Oxycarboxin,,,,,,X,,X,,X,,,
Oxyclozanide,,,,,,X,,,,,,,
Oxydemeton-methyl,,,,,,X,,,,,,,
Oxyfluorfen,X,X,X,X,X,X,,X,X,X,X,X,
Oxytetracycline,,,,,,X,,,,,,,
Oxythioquinox,,,,,,X,,,,,,,
p.p Dicofol,,,,,X,,,,,,,,
Paclobutrazol,X,X,X,X,X,X,,X,X,X,X,,
Paraquat,,,,X,,X,,,,,,,
Parathion,,,,,,,,,,X,X,,
Parathion - ethyl,,,X,,,,,,,,,,
Parathion - methyl,,,X,,,,,,,,,,
Parathion ethyl,X,X,,X,X,,,X,,,,,
Parathion methyl,X,X,,X,X,,,X,,,,,
Parathion-ethyl,,,,,,,,,X,,,,
Parathion-methyl,,,,,,,X,,X,X,X,X,
Pebulate,,,,,,X,,,,,,,
Penconazole,X,X,X,X,X,X,X,X,X,X,X,,
Pencycuron,,,,,,X,,,,X,,,
Pendimethalin,X,X,X,X,X,X,,X,X,X,X,,
Penflufen,,,,,,X,,,,,,,
Pentachlorobenzene,,,,,,,,,,X,,,
Penthiopyrad,,,,,,X,,,,X,,,
Permethrin,,,X,X,X,X,X,X,X,X,X,,X
Permethrin (cis & trans),X,X,,,,,,,,,,,
Pesticides goc carbamates,,,,,,,,,,,,,X
Pesticides goc cuc,,,,,,,,,,,,,X
Phenmedipham,,,,,,X,,,,X,,,
Phenothrin,,,X,X,X,X,,X,X,,,,
Phenothrin (cis & trans),X,X,,,,,,,,,,,
Phenthoate,,,,,,,,,,X,,,
Phorate,X,X,X,X,X,X,,X,X,X,X,,
Phoratesulfone,,,,,,,,,,X,X,,
Phoratesulfoxide,,,,,,,,,,X,X,,
Phosalone,,,,,,,X,X,,X,,,
Phosmet,X,X,X,X,X,X,,X,X,X,X,,X
Phosphamidon,,,,,,,,X,,X,,,
Phosphine,,,,,,X,,,,,,,
Phosphorous acid,,,,,,X,,,,,,,
Phoxim,,,,,,,,,,X,,,
Picloram,,,,,,X,,,,,,,
Picolinafen,,,,,,X,,,,X,,,
Pinoxaden,,,,,,X,,,,,,,
Piperonyl butoxide,X,X,X,X,X,X,X,X,,X,X,,
Piperonyl-butoxide,,,,,,,,,X,,,,
Piperophos,,,,,,,,,,X,,,
Pirimicarb,X,X,X,X,X,X,,X,X,X,X,,
Pirimiphos methyl,X,X,X,X,X,,,X,,,,,
Pirimiphos-methyl,,,,,,X,,,X,X,X,,
Praziquantel,,,,,,X,,,,,,,
Pretilachlor,,,,,,,,,,X,,,
Procaine penicillin,,,,,,X,,,,,,,
Prochloraz,X,X,X,X,X,X,X,X,,X,X,,
Procymidone,X,X,X,X,X,X,X,X,X,X,X,,
Profenofos,X,X,X,X,X,X,X,X,X,X,X,,
Profoxydim,,,,,,X,,,,,,,
Prohexadione-calcium,,,,,,X,,,,,,,
Promecarb,,,,,,,,,,X,,,
Prometryn,,,,,,X,,,,X,,,
Propachlor,,,,X,,X,,X,,X,,,
Propamocarb,,,,,,X,X,X,,X,,,
Propanil,,,,,,X,,,,X,,,
Propaphos,,,,,,,,,,X,,,
Propaquizafop,,,,,,X,,,,X,,,
Propargite,X,X,X,X,X,X,X,X,X,X,X,,X
Propazine,,,,,,X,,,,X,,,
Propetamphos,,,,,,X,,,,X,,X,
Propham,,,,,,,,,,X,,,X
Propiconazole,X,X,X,X,X,X,,X,X,X,X,,X
Propineb,,,,,,X,,,,,,,
Propoxur,,,,,,X,,,,X,,,
Propylene oxide,,,,,,X,,,,,,,
Propyzamide,,,,,,X,,X,,X,,,
Proquinazid,,,,,,X,,,,X,,,
Prosulfocarb,,,X,X,,X,,,,X,,,
Prothioconazole,,,,,,X,,,,,,,
Prothiofos,X,X,X,X,X,X,,X,X,X,X,,
Pymetrozin,,,,,,,,,,X,X,,
Pymetrozine,,X,X,X,X,X,,X,X,,,,
Pyraclofos,,,,,,X,,,,X,,,
Pyraclostrobin,,X,X,X,X,X,,X,X,X,X,,X
Pyraflufen-ethyl,,,,,,X,,,,X,,,
Pyrasulfatole,,,,X,,,,,,,,,
Pyrasulfotole,,,X,,,X,,,,X,,,
Pyrazophos,,,,,,,,,,X,,,
Pyrethrins,,,,X,,X,X,X,X,X,X,,
Pyrethrins ,,,,,X,,,,,,,,
Pyrethrins (sum of positives),X,X,,,,,,,,,,,
Pyributicarb,,,,,,,,,,X,,,
Pyridaben,,,,X,,X,,,,X,,,
Pyridaphenthion,,,,,,,,,,X,,,
Pyridate,,,,,,X,,,,,,,
Pyrifenox,,,,,,,,,,X,,,
Pyriftalid,,,,,,,,,,X,,,
Pyrimenthanil,,,,,X,,,,,,,,
Pyrimethanil,X,X,X,X,,X,X,X,X,X,X,,
Pyrimidifen,,,,,,,,,,X,,,
Pyriproxifen,,,X,X,,,,,,,,,
Pyriproxyfen,,,,,X,X,X,X,X,X,X,,
Pyrithiobac sodium,,,,,,X,,,,,,,
Pyroquilon,,,,,,,,,,X,,,
Pyroxasulfone,,,,,,X,,,,,,,
Pyroxsulam,,,,,,X,,,,X,,,
Quiazlofop,,,,X,,,,,,,,,
Quinalphos,,,,,,,,,,X,,X,
Quinclorac,,,,,,X,,,,,,,
Quinoclamine,,,,,,,,,,X,,,
Quinoxyfen,,,,,,X,X,,,X,,,
Quintozene,X,X,X,X,X,X,X,X,X,X,X,,
Quizalofop-ethyl,,,,,,X,,,,X,,,
Quizalofop-p-tefuryl,,,,,,X,,,,,,,
Ractopamine,,,,,,X,,,,,,,
Rimosulfuron,,,,,,X,,,,,,,
Rimsulfuron,,,,,,,,,,X,,,
Robenidine,,,,,,X,,,,,,,
Rotenone,,,,X,,,,,,,,,
Saflufenacil,,,,,,X,,,,X,,,
Salinomycin,,,,,,X,,,,,,,
Sebuthylazine,,,,,,,,,,X,,,
Sedaxane,,,,,,X,,,,,,,
Semduramicin,,,,,,X,,,,,,,
Sethoxydim,,,,,,X,,,,X,,,
Silafluofen,,,,,,,,,,,,,X
Simazine,,,X,X,,X,,X,,X,X,,
Simeconazole,,,,,,,,,,X,,,
Simetryn,,,,,,,,,,X,,,
Spectinomycin,,,,,,X,,,,,,,
Spinetoram,,X,X,X,,X,,X,,X,X,,
Spinetoram-A,,,,,X,,,,,,,,
Spinetoram-B,,,,,X,,,,,,,,
Spinosad,,X,X,X,,X,,X,X,X,X,,
Spinosad-A,,,,,X,,,,,,,,
Spinosad-B,,,,,X,,,,,,,,
Spirodiclofen,,,,,,X,,,,,,,
Spiromesifen,,,,,,X,,,,X,,,
Spiromesifen enol,,,,,,,,,,X,,,
Spirotetramat,,X,X,X,X,X,,X,X,X,X,,
Spirotetramat enol,,,,,,,,,,X,X,,
Spirotetramat enol-glucoside,,,,,,,,,,X,X,,
Spirotetramat-keto-hydroxy,,,,,,,,,,X,X,,
Spirotetramat-mono-hydroxy,,,,,,,,,,X,X,,
Spiroxamine,,,,,,X,,,,X,,,
Streptomycin and Dihydrostreptomycin,,,,,,X,,,,,,,
Sulfentrazone,,,,,,,,,,X,,,
Sulfosulfuron,,,,,,X,,,,,,,
Sulfoxaflor,,,,,,X,,,,,,,
Sulfuryl fluoride,,,,,,X,,,,,,,
Sulphadiazine,,,,,,X,,,,,,,
Sulphadimidine,,,,,,X,,,,,,,
Sulphadoxine,,,,,,X,,,,,,,
Sulphaquinoxaline,,,,,,X,,,,,,,
Sulphatroxozole,,,,,,X,,,,,,,
Sulphur dioxide,,,,,,X,,,,,,,
Sulprofos,,,,,,X,,,,X,,,
tau - Fluvalinate,,,,X,,,,,,,,,
tau Fluvalinate,,,X,,,,,,,,,,
tau-Fluvalinate,X,X,,,,,,X,,,,,
Tau-fluvalinate,,,,,,,,,X,,,,
Tebuconazole,X,X,X,X,X,X,X,X,X,X,X,X,X
Tebufenozide,,X,X,X,X,X,X,X,X,X,X,,
Tebufenpyrad,X,X,X,X,X,X,,X,X,X,X,,
Tebuthiuron,,,,,,X,,,,X,,,
Tecnazene,,,,,,,X,,,X,,,
Teflubenzuron,,,,,,,X,,,X,,,
Tefluthrin,,,,,,,,,,X,,,
Temephos,,,,,,X,,X,,X,,,
Tepraloxydim,,,,,,X,,,,X,,,
Terbacil,,,,,,X,,,,X,,,
Terbufos,X,X,X,X,X,X,,X,X,X,X,,X
Terbumeton,,,,,,,,,,X,,,
Terbuthylazine,,,,,,X,,,,X,,,
Terbutryn,,,,,,X,,,,X,,,
Tetrachlorvinphos,,,,,,X,,,,X,,,
Tetraconazole,,,,X,,X,,,,X,,,
Tetracycline,,,,,,X,,,,,,,
Tetradifon,X,X,X,X,X,X,,X,X,X,X,,
Tetrahydrophthalimide,,,,,,,,,,X,,,
Thenylchlor,,,,,,,,,,X,,,
Thiabendazole,,X,X,X,X,X,X,X,X,X,X,,
Thiacloprid,,X,X,X,X,X,X,X,X,X,X,,
Thiamethoxam,,X,X,X,X,X,,X,X,X,X,,X
Thiazopyr,,,,,,,,,,X,,,
Thidiazuron,,,,,,X,,,,X,,,
Thifensulfuron,,,,,,X,,,,,,,
Thiobencarb,,,,,,X,,,,X,,,
Thiocyclam hydrogen oxalate,,,,,,,,,,X,,,
Thiodicarb,,,,X,,X,,,,,,,
Thiometon,,,,,,X,,,,X,,,
Thiophanate,,,,,,X,,,,,,,X
Thiophanate-methyl,,,,,,X,,,,,,,
Thiram,,,,,,X,,,,,,,
Tiadinil,,,,,,,,,,X,,,
Tiamulin,,,,,,X,,,,,,,
Tilmicosin,,,,,,X,,,,,,,
Tolclofos methyl,X,X,,,X,,,,,,,,
Tolclofos-methyl,,,,,,X,X,,,X,X,,
Tolclophos methyl,,,X,X,,,,,,,,,
Tolcophos methyl,,,,,,,,X,,,,,
Tolfenamic acid,,,,,,X,,,,,,,
Toltrazuril,,,,,,X,,,,,,,
Tolylfluanid,,,,,,X,X,X,,X,,,
Total BHC,X,X,,,,,,,,,,,
Total DDT Analogs,X,X,,,,,,,,,,,
Tralkoxydim,,,,,,X,,,,X,,,
Tralomethrin,,,,,,,,,,,,,X
trans-Chlordane,,,,,,,,,,X,X,,
Transfluthrin,,,,,,,,,,X,,,
Trenbolone acetate,,,,,,X,,,,,,,
Tri-allate,,,,,,,,,,X,,,
Triadimefon,X,X,X,X,X,X,,X,,X,X,,X
Triadimefon Total,,,,,,,,,X,,,,
Triadimenol,X,X,X,X,X,X,,X,X,X,X,,X
Triallate,,,,,,X,,,,,,,
Triasulfuron,,,,,,X,,,,X,,,
Triazophos,,,,,,,X,X,,X,,,
Tribenuron-methyl,,,,,,X,,,,X,,,
Tribufos,,,,,,,,,,X,,,
Trichlorfon,X,X,X,X,X,X,,X,X,X,X,,
Trichloroethylene,,,,,,X,,,,,,,
Triclabendazole,,,,,,X,,,,,,,
Triclopyr,,,,,,X,,,,,,,
Tricyclazole,,,,,,,,,,X,,,
Tridemorph,,,,,,X,,,,,,,
Trifloxystrobin,,X,X,X,X,X,,X,X,X,X,,
Trifloxysulfuron sodium,,,,,,X,,,,,,,
Trifloxysulfuron-sodium,,,,,,,,,,X,,,
Triflumizole,,,,,,X,,,,X,,,
Triflumuron,,,,,,X,,,,X,,,
Trifluralin,,,,,,X,,X,,X,,X,
Triflusulfuron-methyl,,,,,,,,,,X,,,
Triforine,,,,,,X,X,,,X,,,
Trimethoprim,,,,,,X,,,,,,,
Trinexapac-ethyl,,,,,,X,,,,,,,
Triticonazole,,,,,,X,,,,X,,,
Tulathromycin,,,,,,X,,,,,,,
Tylosin,,,,,,X,,,,,,,
Uniconazole-p,,,,,,X,,,,,,,
Uniconazole-P,,,,,,,,,,X,,,
Vamidothion,,,X,X,,,,X,,X,X,,
Vinclozolin,X,X,X,X,X,,X,X,X,X,X,,
Virginiamycin,,,,,,X,,,,,,,
Warfarin,,,,,,X,,,,,,,
XMC,,,,,,,,,,X,,,
Zeranol,,,,,,X,,,,,,,
Zeta cypermethrin,,,,X,,,,,,,,,
Zetacypermethrin,,,,,,X,,,,,,,
Zoxamide,,,,,,,X,,,X,,,
