Name,Indonesia,PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
Etobenzanid,,,X,,,
Etofenprox,X,,,,,X
Etoxazole,,,X,X,X,
Etridiazole,,,X,,,
Etrimfos,,,X,,,
Famoxadone,,,X,,,
Famphur,,,X,,,
Fenamidone,,,X,,,
Fenamiphos,X,X,X,X,,
Fenarimol,X,X,X,X,,
Fenbuconazole,X,,X,,,
Fenbutatin Oxide,X,,,,,
Fenchlorphos,,,X,,,
Fenhexamid,,X,X,X,,
Fenitrothion,,X,X,X,,
Fenobucarb,X,,X,,,
Fenothiocarb,,,X,,,
Fenoxanil,,,X,,,
Fenoxaprop,,,X,,,
Fenoxaprop-ethyl,,,X,,,
Fenoxycarb,,X,X,X,,
Fenpiclonil,,,X,,,
Fenpropathrin,X,,X,,,
Fenpropidin,,,X,,,
Fenpropimorph,,,X,,,
Fenpyroximate,,X,X,X,,
Fensulfothion,,,X,,,
Fenthion,X,X,X,X,X,
Fenthion ethyl,,,X,,,
Fenthion sulfone,,,X,X,,
Fenthion sulfoxide,,,X,X,,
Fenthion-oxon,,,X,X,,
Fenthion-oxon sulfone,,,X,X,,
Fenthion-oxon sulfoxide,,,X,X,,
Fentrazamide,,,X,,,
Fenvalerate,X,X,X,X,,
Ferimzone,,,X,,,
Fipronil,X,X,X,X,,
Fipronil sulfide,,,X,X,,
Fipronil sulphone,,,X,X,,
Flamprop,,,X,,,
Flamprop-methyl,,,X,,,
Flazasulfuron,,,X,,,
Fluacrypyrim,,,X,,,
Fluazifop-p-butyl,,,X,,,
Fluazinam,,,X,,,
Flubendazole,,,X,,,
Flubendiamide,,,X,X,,
Flucythrinate,,,X,,,
Fludioxonil,,X,X,X,,
Flufenacet,,,X,,,
Flumiclorac-pentyl,,,X,,,
Flumioxazin,,,X,,,
Fluometuron,,,X,,,
Fluopicolide,,,X,,,
Fluopyram,,,X,,,
Fluquinconazole,,,X,,,
Fluridone,,,X,,,
Flusilazole,X,X,X,X,,
Fluthiacet-methyl,,,X,,,
Flutolanil,X,,X,,,
Flutriafol,,,X,,,
Fluvalinate,,,X,X,,
Fluvalinate-tau,,X,,,,
Folpet,,,X,,,
Fonofos,,,X,,,
Forchlorfenuron,,,X,,,
Formetanate hydrochloride,,,X,,,
Fosthiazate,,,X,,,
Fuberidazole,,,X,,,
Furalaxyl,,,X,,,
Furametpyr,,,X,,,
Furathiocarb,,,X,,,
Glufosinate ammonium,X,,,,,
Halosulfuron-methyl,,,X,,,
Haloxyfop,X,,,,,
Haloxyfop-etotyl,,,X,,,
Haloxyfop-methyl,,,X,,,
HCH-alpha,,,X,X,X,
HCH-beta,,,X,X,X,
HCH-delta,,,X,X,X,
HCH-gamma (Lindane),X,X,X,X,X,
Heptachlor,X,X,X,X,X,
Heptachlor endo-epoxide,,,X,X,,
Heptachlor exo-epoxide,,,X,X,,
Heptenophos,,,X,,,
Hexachlorobenzene (HCB),,X,X,X,X,
Hexaconazole,,X,X,X,,
Hexaflumuron,,,X,,,
Hexazinone,,,X,,,
Hexythiazox,X,X,X,X,,
Imazalil,X,X,X,X,,
Imazamethabenz-methyl,,,X,,,
Imazosulfuron,,,X,,,
Imidacloprid,X,,X,X,,X
Imidacloprid olefin,,,X,X,,
Inabenfide,,,X,,,
Indanofan,,,X,,,
Indoxacarb,,X,X,X,,
Iodfenphos,,,X,,,
Iodosulfuron-methyl,,,X,,,
Ion Bromida,X,,,,,
Iprobenfos,,,X,,,
Iprodione,X,X,X,X,,
Iprovalicarb,,,X,,,
Isazofos,,,X,,,
Isofenphos,,,X,,,
Isofenphos-methyl,,,X,,,
Isoprocarb,X,,X,,,
Isoprothiolane,,,X,,,
Isoproturon,,,X,,,
Isopyrazam,,,X,,,
Isoxathion,,,X,,,
Ivermectin,,,,,,X
Karbutilate,,,X,,,
Kresoxim-methyl,X,X,X,X,,
Lactofen,,,X,,,
Lenacil,,,X,,,
Leptophos,,,X,,,
Linuron,,X,X,X,,
Lufenuron,,,X,,,
Malathion,X,X,X,X,X,X
Maleic hydrazide,X,,,,,
Mandipropamid,,,X,,,
Mefenacet,,,X,,,
